№;Название (URSI);Код URSI;Широта;Долгота;Статус
1;Aberystwyth;EB053;52.40;-4.10;Закрыта
2;Adak;AD151;51.90;-176.60;Закрыта
3;Addis Ababa;AA009;9.00;38.70;Закрыта
4;Ahmedabad;AH023;23.00;72.60;Активна
5;Akita;AK140;39.70;140.10;Активна
6;Akrotiri;AK035;34.60;32.90;Закрыта
7;Alert;AL183;82.50;-62.30;Закрыта
8;Alice Springs;AS52M;-23.70;133.90;Активна
9;Alma-Ata;AA343;43.20;76.90;Активна
10;Alkenes;AL169;69.30;18.60;Закрыта
11;Almeria;AL037;36.80;-2.50;Закрыта
12;Amderma;AM170;69.80;61.70;Закрыта
13;Amundsen-Scott;AM590;-90.00;0.00;Активна
14;Anchorage;AN161;61.20;-149.90;Закрыта
15;Ancon;AN012;-11.80;-77.20;Закрыта
16;Arkhangelsk;AR165;64.60;40.50;Закрыта
17;Argentine Islands;AI565;-65.20;-64.30;Активна
18;Arica;AR018;-18.50;-70.30;Закрыта
19;Arkaroola;AK53M;-30.30;139.30;Закрыта
20;Armidale;AR53N;-30.50;151.70;Закрыта
21;Ascension Island;AS008;-7.90;-14.40;Активна
22;Ashkhabad;AS237;37.90;58.10;Активна
23;Asmara;AS015;15.30;38.90;Закрыта
24;Asuncion;AS025;-25.30;-57.60;Закрыта
25;Athens;AT038;38.00;23.60;Активна
26;Atuona;AT098;-9.80;-139.00;Закрыта
27;Auckland;AU53S;-36.90;174.80;Закрыта
28;Baghdad;BG033;33.30;44.40;Закрыта
29;Bahrain;BA026;26.20;50.60;Закрыта
30;Baker Lake;BL164;64.30;-96.00;Закрыта
31;Bangui;BA004;4.40;18.60;Закрыта
32;Bangkok;BK014;13.80;100.60;Активна
33;Baranov;BA181;81.30;95.80;Закрыта
34;Baris;BA022;22.50;114.10;Закрыта
35;Barrow;BA171;71.30;-156.80;Закрыта
36;Batavia;BA006;-6.20;106.80;Закрыта
37;Baudouin;BA571;-70.40;24.30;Закрыта
38;Beagle Channel;BE555;-54.80;-68.30;Закрыта
39;Belyy Island;BE173;73.30;70.00;Закрыта
40;Belgrano;BE575;-77.90;-38.60;Закрыта
41;Belgrade;BE045;44.80;20.50;Закрыта
42;Belsk;BE052;51.80;20.80;Закрыта
43;Benghazi;BE032;32.10;20.10;Закрыта
44;Bermuda;BE031;32.40;-64.70;Закрыта
45;Biloxi;BI830;30.40;-88.90;Закрыта
46;Bishkek;BI243;42.80;74.60;Закрыта
47;Blossom Point;BP838;38.40;-77.10;Закрыта
48;Bologna;BO044;44.50;11.30;Закрыта
49;Bombay;BO019;19.00;72.80;Закрыта
50;Borneo;BO001;1.50;114.00;Закрыта
51;Boulder;BC840;40.00;-105.30;Активна
52;Breisach;BR048;48.00;7.60;Закрыта
53;Bribie Island;BR52Q;-27.10;153.20;Закрыта
54;Brisbane;BR52S;-27.50;152.90;Закрыта
55;Brindisi;BR040;40.60;17.90;Закрыта
56;Bristol;BR051;51.50;-2.60;Закрыта
57;Broome;BR51Q;-17.90;122.20;Закрыта
58;Budapest;BU047;47.40;19.20;Закрыта
59;Buenos Aires;BA034;-34.50;-58.50;Закрыта
60;Bunia;BU002;1.50;30.20;Закрыта
61;Burlington;BU144;44.50;-73.20;Закрыта
62;Byrd Station;BY580;-80.00;-120.00;Закрыта
63;Cachoeira Paulista;CP022;-22.70;-45.00;Активна
